Varp of /data_set/feature/v,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Derivative of Method of Moments Overall Average,Derivative of Method of Moments Overall Standard Deviation,Derivative of Partial Based Spectral Centroid Overall Average,Derivative of Partial Based Spectral Centroid Overall Standard Deviation,Derivative of Partial Based Spectral Flux Overall Average,Derivative of Partial Based Spectral Flux Overall Standard Deviation,Derivative of Peak Based Spectral Smoothness Overall Average,Derivative of Peak Based Spectral Smoothness Overall Standard Deviation,Derivative of Relative Difference Function Overall Average,Derivative of Relative Difference Function Overall Standard Deviation,Derivative of Running Mean of Method of Moments Overall Average,Derivative of Running Mean of Method of Moments Overall Standard Deviation,Derivative of Running Mean of Partial Based Spectral Centroid Overall Average,Derivative of Running Mean of Partial Based Spectral Centroid Overall Standard Deviation,Derivative of Running Mean of Partial Based Spectral Flux Overall Average,Derivative of Running Mean of Partial Based Spectral Flux Overall Standard Deviation,Derivative of Running Mean of Peak Based Spectral Smoothness Overall Average,Derivative of Running Mean of Peak Based Spectral Smoothness Overall Standard Deviation,Derivative of Running Mean of Relative Difference Function Overall Average,Derivative of Running Mean of Relative Difference Function Overall Standard Deviation,Derivative of Standard Deviation of Method of Moments Overall Average,Derivative of Standard Deviation of Method of Moments Overall Standard Deviation,Derivative of Standard Deviation of Partial Based Spectral Centroid Overall Average,Derivative of Standard Deviation of Partial Based Spectral Centroid Overall Standard Deviation,Derivative of Standard Deviation of Partial Based Spectral Flux Overall Average,Derivative of Standard Deviation of Partial Based Spectral Flux Overall Standard Deviation,Derivative of Standard Deviation of Peak Based Spectral Smoothness Overall Average,Derivative of Standard Deviation of Peak Based Spectral Smoothness Overall Standard Deviation,Derivative of Standard Deviation of Relative Difference Function Overall Average,Derivative of Standard Deviation of Relative Difference Function Overall Standard Deviation,Method of Moments Overall Average,Method of Moments Overall Standard Deviation,Partial Based Spectral Centroid Overall Average,Partial Based Spectral Centroid Overall Standard Deviation,Partial Based Spectral Flux Overall Average,Partial Based Spectral Flux Overall Standard Deviation,Peak Based Spectral Smoothness Overall Average,Peak Based Spectral Smoothness Overall Standard Deviation,Peak Detection Overall Average,Peak Detection Overall Standard Deviation,Relative Difference Function Overall Average,Relative Difference Function Overall Standard Deviation,Running Mean of Method of Moments Overall Average,Running Mean of Method of Moments Overall Standard Deviation,Running Mean of Partial Based Spectral Centroid Overall Average,Running Mean of Partial Based Spectral Centroid Overall Standard Deviation,Running Mean of Partial Based Spectral Flux Overall Average,Running Mean of Partial Based Spectral Flux Overall Standard Deviation,Running Mean of Peak Based Spectral Smoothness Overall Average,Running Mean of Peak Based Spectral Smoothness Overall Standard Deviation,Running Mean of Relative Difference Function Overall Average,Running Mean of Relative Difference Function Overall Standard Deviation,Standard Deviation of Method of Moments Overall Average,Standard Deviation of Method of Moments Overall Standard Deviation,Standard Deviation of Partial Based Spectral Centroid Overall Average,Standard Deviation of Partial Based Spectral Centroid Overall Standard Deviation,Standard Deviation of Partial Based Spectral Flux Overall Average,Standard Deviation of Partial Based Spectral Flux Overall Standard Deviation,Standard Deviation of Peak Based Spectral Smoothness Overall Average,Standard Deviation of Peak Based Spectral Smoothness Overall Standard Deviation,Standard Deviation of Relative Difference Function Overall Average,Standard Deviation of Relative Difference Function Overall Standard Deviation,Grand Total
D:\Baya\Thesis\Data\data\BRAVERY011G.wav,40865458.95,2.44682E+13,0,0,0,0,0,0,0,0,28341355.98,7752170919,0,0,0,0,0,0,0,0,2829945683,7.75207E+11,0,0,0,0,0,0,0,0,7.92833E+14,3.17892E+13,0,0,0,0,0,0,1.31151E-06,3.69031E-06,0,0,7.60346E+14,4.64374E+12,0,0,0,0,0,0,0,0,7.59906E+16,4.64717E+14,0,0,0,0,0,0,0,0,3.12034E+15
D:\Baya\Thesis\Data\data\BRAVERY012G.wav,125366.8004,1.36004E+13,0,0,0,0,0,0,0,0,36305926.61,2987476008,0,0,0,0,0,0,0,0,3630435105,2.98742E+11,0,0,0,0,0,0,0,0,5.24349E+14,1.63925E+13,0,0,0,0,0,0,7.40243E-07,0,0,0,5.185E+14,2.79777E+11,0,0,0,0,0,0,0,0,5.18318E+16,2.79347E+13,0,0,0,0,0,0,0,0,2.14559E+15
D:\Baya\Thesis\Data\data\BRAVERY013G.wav,553434083.1,1.49016E+13,0,0,0,0,0,0,0,0,1932012594,5846325039,0,0,0,0,0,0,0,0,1.93192E+11,5.82759E+11,0,0,0,0,0,0,0,0,3.5343E+14,3.00132E+13,0,0,0,0,0,0,5.48358E-08,1.76712E-07,0,0,3.54372E+14,4.72984E+11,0,0,0,0,0,0,0,0,3.54224E+16,4.72941E+13,0,0,0,0,0,0,0,0,1.14679E+15
D:\Baya\Thesis\Data\data\BRAVERY014G.wav,427852651.1,2.34503E+13,0,0,0,0,0,0,0,0,5348551.297,9432959463,0,0,0,0,0,0,0,0,613563358,1.11077E+12,0,0,0,0,0,0,0,0,6.03907E+14,4.35131E+13,0,0,0,0,0,0,5.78997E-07,4.2757E-06,0,0,6.37546E+14,4.6166E+12,0,0,0,0,0,0,0,0,7.4793E+16,5.44905E+14,0,0,0,0,0,0,0,0,2.1955E+15
D:\Baya\Thesis\Data\data\BRAVERY015G.wav,37014266.03,4.12462E+13,0,0,0,0,0,0,0,0,63557032.54,19554357052,0,0,0,0,0,0,0,0,6388916142,1.95649E+12,0,0,0,0,0,0,0,0,3.9426E+14,9.5524E+13,0,0,0,0,0,0,4.75516E-06,1.03793E-05,0,0,3.67971E+14,6.03175E+12,0,0,0,0,0,0,0,0,3.67054E+16,6.04137E+14,0,0,0,0,0,0,0,0,1.32977E+15
D:\Baya\Thesis\Data\data\BRAVERY016G.wav,97036066.66,6.20367E+13,0,0,0,0,0,0,0,0,4299578606,34159022587,0,0,0,0,0,0,0,0,5.06136E+11,4.02447E+12,0,0,0,0,0,0,0,0,1.81852E+15,1.84747E+14,0,0,0,0,0,0,9.42197E-06,,0,0,2.08289E+15,5.94421E+13,0,0,0,0,0,0,0,0,2.44093E+17,7.0058E+15,0,0,0,0,0,0,0,0,1.05875E+16
D:\Baya\Thesis\Data\data\BRAVERY017G.wav,5939548732,4.70199E+13,0,0,0,0,0,0,0,0,120065527.1,11741715778,0,0,0,0,0,0,0,0,12076362308,1.17242E+12,0,0,0,0,0,0,0,0,8.85518E+14,7.38532E+13,0,0,0,0,0,0,9.95205E-06,2.02163E-05,0,0,9.13429E+14,1.69793E+12,0,0,0,0,0,0,0,0,9.12947E+16,1.69581E+14,0,0,0,0,0,0,0,0,3.75824E+15
D:\Baya\Thesis\Data\data\BRAVERY018G.wav,27430457.11,2.24642E+13,0,0,0,0,0,0,0,0,483120788.6,10277615041,0,0,0,0,0,0,0,0,48294367304,1.02774E+12,0,0,0,0,0,0,0,0,7.84602E+14,8.52795E+13,0,0,0,0,0,0,2.09483E-06,2.2894E-05,0,0,7.76582E+14,4.63359E+13,0,0,0,0,0,0,0,0,7.76139E+16,4.63357E+15,0,0,0,0,0,0,0,0,3.08997E+15
D:\Baya\Thesis\Data\data\BRAVERY019G.wav,556983.209,3.51289E+13,0,0,0,0,0,0,0,0,181359062,15247009406,0,0,0,0,0,0,0,0,18125439352,1.52468E+12,0,0,0,0,0,0,0,0,9.5939E+14,6.26517E+13,0,0,0,0,0,0,2.40376E-05,0,0,0,1.01579E+15,1.00299E+13,0,0,0,0,0,0,0,0,1.01528E+17,1.00273E+15,0,0,0,0,0,0,0,0,4.18019E+15
D:\Baya\Thesis\Data\data\BRAVERY020G.wav,56190.13216,1.78551E+13,0,0,0,0,0,0,0,0,1939026.049,6308322090,0,0,0,0,0,0,0,0,193787912.3,6.30176E+11,0,0,0,0,0,0,0,0,6.3987E+14,4.46217E+13,0,0,0,0,0,0,1.5643E-06,4.87008E-06,0,0,6.27015E+14,1.21708E+13,0,0,0,0,0,0,0,0,6.26617E+16,1.21566E+15,0,0,0,0,0,0,0,0,2.24565E+15
D:\Baya\Thesis\Data\data\BRAVERY021G.wav,484662261,4.29574E+13,0,0,0,0,0,0,0,0,192141080.9,12024350396,0,0,0,0,0,0,0,0,19180965097,1.20505E+12,0,0,0,0,0,0,0,0,5.05106E+14,6.50002E+13,0,0,0,0,0,0,1.81928E-06,0,0,0,5.28734E+14,2.19369E+12,0,0,0,0,0,0,0,0,5.28184E+16,2.19607E+14,0,0,0,0,0,0,0,0,2.19357E+15
D:\Baya\Thesis\Data\data\BRAVERY022G.wav,91043753.09,3.51706E+13,0,0,0,0,0,0,0,0,55450500.78,15523434610,0,0,0,0,0,0,0,0,5562891514,1.55632E+12,0,0,0,0,0,0,0,0,6.4068E+14,1.0477E+14,0,0,0,0,0,0,8.16644E-07,,0,0,6.60443E+14,3.13539E+13,0,0,0,0,0,0,0,0,6.59622E+16,3.13986E+15,0,0,0,0,0,0,0,0,3.02543E+15
D:\Baya\Thesis\Data\data\BRAVERY023G.wav,476893279.7,4.74097E+13,0,0,0,0,0,0,0,0,589998493,20397217145,0,0,0,0,0,0,0,0,59136381905,2.04541E+12,0,0,0,0,0,0,0,0,7.59673E+14,1.12397E+14,0,0,0,0,0,0,2.14412E-06,2.20465E-05,0,0,8.11353E+14,1.69987E+13,0,0,0,0,0,0,0,0,8.10444E+16,1.70647E+15,0,0,0,0,0,0,0,0,3.22877E+15
D:\Baya\Thesis\Data\data\BRAVERY024G.wav,8315789.509,2.2356E+13,0,0,0,0,0,0,0,0,1134138.057,7784011761,0,0,0,0,0,0,0,0,133359763.3,9.16536E+11,0,0,0,0,0,0,0,0,3.64934E+14,3.70243E+13,0,0,0,0,0,0,8.7473E-07,5.0042E-06,0,0,3.65064E+14,3.04725E+12,0,0,0,0,0,0,0,0,4.28386E+16,3.59354E+14,0,0,0,0,0,0,0,0,1.24651E+15
D:\Baya\Thesis\Data\data\BRAVERY025G.wav,214128965.7,2.05255E+13,0,0,0,0,0,0,0,0,32880355.89,6599973299,0,0,0,0,0,0,0,0,3860976632,7.77187E+11,0,0,0,0,0,0,0,0,3.57698E+14,4.21209E+13,0,0,0,0,0,0,1.13817E-07,8.38692E-07,0,0,3.53419E+14,3.23538E+12,0,0,0,0,0,0,0,0,4.1434E+16,3.82699E+14,0,0,0,0,0,0,0,0,1.38256E+15
D:\Baya\Thesis\Data\data\BRAVERY026G.wav,7378672.211,2.34968E+13,0,0,0,0,0,0,0,0,10179295.39,7814489316,0,0,0,0,0,0,0,0,1021248335,7.82143E+11,0,0,0,0,0,0,0,0,4.83046E+14,3.89691E+13,0,0,0,0,0,0,4.69845E-07,1.96261E-06,0,0,5.00592E+14,2.19404E+12,0,0,0,0,0,0,0,0,5.00236E+16,2.1964E+14,0,0,0,0,0,0,0,0,1.82838E+15
D:\Baya\Thesis\Data\data\BRAVERY027G.wav,217998108.3,2.85222E+13,0,0,0,0,0,0,0,0,228490012.6,10487867019,0,0,0,0,0,0,0,0,22909563750,1.04875E+12,0,0,0,0,0,0,0,0,4.28387E+14,6.23448E+13,0,0,0,0,0,0,6.44597E-07,9.35916E-07,0,0,4.24081E+14,9.83826E+12,0,0,0,0,0,0,0,0,4.23589E+16,9.84066E+14,0,0,0,0,0,0,0,0,1.36008E+15
D:\Baya\Thesis\Data\data\BRAVERY028G.wav,1285260590,2.27093E+13,0,0,0,0,0,0,0,0,1367531587,5247535160,0,0,0,0,0,0,0,0,1.36785E+11,5.24691E+11,0,0,0,0,0,0,0,0,4.79099E+14,3.04312E+13,0,0,0,0,0,0,9.21412E-07,3.51778E-07,0,0,4.66791E+14,4.31933E+12,0,0,0,0,0,0,0,0,4.66625E+16,4.32427E+14,0,0,0,0,0,0,0,0,1.68346E+15
D:\Baya\Thesis\Data\data\BRAVERY029G.wav,686502748.6,2.13896E+13,0,0,0,0,0,0,0,0,419575190.8,4696747006,0,0,0,0,0,0,0,0,42018907109,4.6904E+11,0,0,0,0,0,0,0,0,6.01168E+14,2.53007E+13,0,0,0,0,0,0,2.33027E-07,6.97947E-08,0,0,6.02273E+14,5.54275E+12,0,0,0,0,0,0,0,0,6.02283E+16,5.54428E+14,0,0,0,0,0,0,0,0,2.44474E+15
D:\Baya\Thesis\Data\data\BRAVERY030G.wav,76559568.09,1.44023E+13,0,0,0,0,0,0,0,0,4757552.655,11363563731,0,0,0,0,0,0,0,0,518252196.5,1.33758E+12,0,0,0,0,0,0,0,0,2.2671E+14,5.7735E+13,0,0,0,0,0,0,3.66422E-08,,0,0,2.0446E+14,1.19471E+13,0,0,0,0,0,0,0,0,2.39354E+16,1.4106E+15,0,0,0,0,0,0,0,0,9.79698E+14
D:\Baya\Thesis\Data\data\CHEERFUL001E.wav,65967960.18,1.86652E+13,0,0,0,0,0,0,0,0,4882059.652,5573471179,0,0,0,0,0,0,0,0,587920725.9,6.58424E+11,0,0,0,0,0,0,0,0,4.66599E+14,2.93882E+13,0,0,0,0,0,0,3.08872E-07,,0,0,4.88315E+14,1.36465E+12,0,0,0,0,0,0,0,0,5.72321E+16,1.61283E+14,0,0,0,0,0,0,0,0,2.22059E+15
D:\Baya\Thesis\Data\data\CHEERFUL001F.wav,1821615888,3.36896E+13,0,0,0,0,0,0,0,0,2395858830,17878828561,0,0,0,0,0,0,0,0,2.39196E+11,1.78788E+12,0,0,0,0,0,0,0,0,6.82506E+14,7.7049E+13,0,0,0,0,0,0,3.51729E-06,2.10678E-06,0,0,7.74118E+14,6.81243E+12,0,0,0,0,0,0,0,0,7.73452E+16,6.81664E+14,0,0,0,0,0,0,0,0,2.78978E+15
D:\Baya\Thesis\Data\data\CHEERFUL002E.wav,298322582.3,1.49458E+13,0,0,0,0,0,0,0,0,28882496.67,2722353856,0,0,0,0,0,0,0,0,2896893711,2.72189E+11,0,0,0,0,0,0,0,0,3.58154E+14,1.52506E+13,0,0,0,0,0,0,1.45E-07,,0,0,3.71724E+14,7.11085E+11,0,0,0,0,0,0,0,0,3.71574E+16,7.10996E+13,0,0,0,0,0,0,0,0,1.57795E+15
D:\Baya\Thesis\Data\data\CHEERFUL002F.wav,3326747185,5.449E+13,0,0,0,0,0,0,0,0,93049802.26,15227738740,0,0,0,0,0,0,0,0,9266293736,1.52375E+12,0,0,0,0,0,0,0,0,4.15491E+14,8.25805E+13,0,0,0,0,0,0,2.61716E-06,2.0774E-05,0,0,4.55472E+14,2.87219E+11,0,0,0,0,0,0,0,0,4.54621E+16,2.87643E+13,0,0,0,0,0,0,0,0,1.7689E+15
D:\Baya\Thesis\Data\data\CHEERFUL002G.wav,392801054.9,3.43295E+13,0,0,0,0,0,0,0,0,11672072.72,10446108420,0,0,0,0,0,0,0,0,1172953958,1.04542E+12,0,0,0,0,0,0,0,0,3.73191E+14,6.21997E+13,0,0,0,0,0,0,1.548E-06,3.53816E-06,0,0,3.88158E+14,2.90697E+12,0,0,0,0,0,0,0,0,3.87687E+16,2.91379E+14,0,0,0,0,0,0,0,0,1.565E+15
D:\Baya\Thesis\Data\data\CHEERFUL003E.wav,146025007.1,4.37711E+13,0,0,0,0,0,0,0,0,697942871.4,14393072549,0,0,0,0,0,0,0,0,69840486747,1.43832E+12,0,0,0,0,0,0,0,0,3.88001E+14,7.83998E+13,0,0,0,0,0,0,4.41576E-07,2.07076E-06,0,0,3.62263E+14,1.18786E+13,0,0,0,0,0,0,0,0,3.61656E+16,1.18813E+15,0,0,0,0,0,0,0,0,1.56428E+15
D:\Baya\Thesis\Data\data\CHEERFUL003G.wav,2402025.246,2.52126E+13,0,0,0,0,0,0,0,0,1950568.293,5388171013,0,0,0,0,0,0,0,0,217897336.1,6.36146E+11,0,0,0,0,0,0,0,0,6.28632E+14,3.17672E+13,0,0,0,0,0,0,2.7468E-07,1.93077E-06,0,0,6.36787E+14,1.97218E+12,0,0,0,0,0,0,0,0,7.46506E+16,2.32441E+14,0,0,0,0,0,0,0,0,2.44585E+15
D:\Baya\Thesis\Data\data\CHEERFUL004E.wav,765036.6049,3.81887E+13,0,0,0,0,0,0,0,0,5633508.931,11376909846,0,0,0,0,0,0,0,0,565800309.6,1.13933E+12,0,0,0,0,0,0,0,0,4.69209E+14,5.92567E+13,0,0,0,0,0,0,6.13209E-07,5.2946E-06,0,0,4.52268E+14,4.98524E+12,0,0,0,0,0,0,0,0,4.51762E+16,4.99021E+14,0,0,0,0,0,0,0,0,1.84058E+15
D:\Baya\Thesis\Data\data\CHEERFUL004F.wav,7683481436,2.21452E+13,0,0,0,0,0,0,0,0,3346571561,7987642849,0,0,0,0,0,0,0,0,3.35578E+11,8.01584E+11,0,0,0,0,0,0,0,0,4.12149E+14,5.606E+13,0,0,0,0,0,0,2.79349E-07,3.29638E-07,0,0,4.41179E+14,1.42358E+12,0,0,0,0,0,0,0,0,4.40678E+16,1.4293E+14,0,0,0,0,0,0,0,0,1.66492E+15
D:\Baya\Thesis\Data\data\CHEERFUL005E.wav,956477606.2,1.26857E+13,0,0,0,0,0,0,0,0,1193849628,4948865947,0,0,0,0,0,0,0,0,1.19583E+11,4.95435E+11,0,0,0,0,0,0,0,0,3.41704E+14,2.54353E+13,0,0,0,0,0,0,2.91752E-06,1.09896E-06,0,0,3.20642E+14,8.09358E+11,0,0,0,0,0,0,0,0,3.20356E+16,8.09337E+13,0,0,0,0,0,0,0,0,1.34586E+15
D:\Baya\Thesis\Data\data\CHEERFUL005F.wav,21855089.51,1.53534E+13,0,0,0,0,0,0,0,0,164959923.2,7695188606,0,0,0,0,0,0,0,0,16444709689,7.69515E+11,0,0,0,0,0,0,0,0,2.92823E+14,2.77714E+13,0,0,0,0,0,0,2.92629E-07,4.82946E-07,0,0,3.1761E+14,3.08652E+12,0,0,0,0,0,0,0,0,3.17325E+16,3.08511E+14,0,0,0,0,0,0,0,0,1.22072E+15
D:\Baya\Thesis\Data\data\CHEERFUL005G.wav,79749510.17,1.86777E+13,0,0,0,0,0,0,0,0,3778536.51,6647737170,0,0,0,0,0,0,0,0,380948787.1,6.64761E+11,0,0,0,0,0,0,0,0,7.72503E+14,2.86954E+13,0,0,0,0,0,0,2.68018E-06,3.431E-06,0,0,7.94683E+14,1.76713E+12,0,0,0,0,0,0,0,0,7.94234E+16,1.76604E+14,0,0,0,0,0,0,0,0,2.65426E+15
D:\Baya\Thesis\Data\data\CHEERFUL006E.wav,9647916.441,1.43071E+13,0,0,0,0,0,0,0,0,338156.3515,5791345205,0,0,0,0,0,0,0,0,34134636.92,5.79102E+11,0,0,0,0,0,0,0,0,8.55399E+14,2.54393E+13,0,0,0,0,0,0,2.21021E-06,,0,0,8.77993E+14,2.05691E+12,0,0,0,0,0,0,0,0,8.77999E+16,2.0557E+14,0,0,0,0,0,0,0,0,3.70565E+15
D:\Baya\Thesis\Data\data\CHEERFUL007E.wav,595914444.5,2.81589E+13,0,0,0,0,0,0,0,0,6234774877,32348762517,0,0,0,0,0,0,0,0,6.25399E+11,3.23052E+12,0,0,0,0,0,0,0,0,4.29397E+14,1.37835E+14,0,0,0,0,0,0,1.87276E-06,1.71141E-05,0,0,2.80081E+14,1.45086E+13,0,0,0,0,0,0,0,0,2.79416E+16,1.45356E+15,0,0,0,0,0,0,0,0,1.16751E+15
D:\Baya\Thesis\Data\data\CHEERFUL007F.wav,2621578689,4.321E+13,0,0,0,0,0,0,0,0,1210247930,10191443026,0,0,0,0,0,0,0,0,1.20974E+11,1.0191E+12,0,0,0,0,0,0,0,0,5.11782E+14,7.2522E+13,0,0,0,0,0,0,3.13906E-06,4.89452E-05,0,0,5.54374E+14,1.04215E+13,0,0,0,0,0,0,0,0,5.53626E+16,1.04056E+15,0,0,0,0,0,0,0,0,2.17329E+15
D:\Baya\Thesis\Data\data\CHEERFUL007G.wav,130720893.9,3.78773E+13,0,0,0,0,0,0,0,0,35793140.68,9824115685,0,0,0,0,0,0,0,0,3588799986,9.82374E+11,0,0,0,0,0,0,0,0,6.96575E+14,5.00684E+13,0,0,0,0,0,0,4.73509E-06,,0,0,7.19094E+14,2.30514E+12,0,0,0,0,0,0,0,0,7.1867E+16,2.3087E+14,0,0,0,0,0,0,0,0,2.96042E+15
D:\Baya\Thesis\Data\data\CHEERFUL009E.wav,156501498.1,1.20047E+13,0,0,0,0,0,0,0,0,2692088.778,6800262899,0,0,0,0,0,0,0,0,273126513.1,6.79352E+11,0,0,0,0,0,0,0,0,3.52919E+14,3.16218E+13,0,0,0,0,0,0,2.43195E-07,4.62857E-07,0,0,3.59413E+14,2.2656E+12,0,0,0,0,0,0,0,0,3.59112E+16,2.26193E+14,0,0,0,0,0,0,0,0,1.35342E+15
D:\Baya\Thesis\Data\data\CHEERFUL009G.wav,2679776.208,2.40996E+13,0,0,0,0,0,0,0,0,312735961.5,4714643563,0,0,0,0,0,0,0,0,36863372046,5.57239E+11,0,0,0,0,0,0,0,0,6.05977E+14,2.85461E+13,0,0,0,0,0,0,8.71858E-07,1.331E-06,0,0,6.1625E+14,2.24444E+12,0,0,0,0,0,0,0,0,7.22335E+16,2.64786E+14,0,0,0,0,0,0,0,0,2.14856E+15
D:\Baya\Thesis\Data\data\CHEERFUL010E.wav,379607050.4,1.43953E+13,0,0,0,0,0,0,0,0,23925217.23,6318415640,0,0,0,0,0,0,0,0,2771840841,7.44714E+11,0,0,0,0,0,0,0,0,3.94541E+14,2.70387E+13,0,0,0,0,0,0,5.92026E-07,,0,0,3.79548E+14,5.66078E+12,0,0,0,0,0,0,0,0,4.44848E+16,6.6935E+14,0,0,0,0,0,0,0,0,1.64114E+15
D:\Baya\Thesis\Data\data\CHEERFUL010F.wav,328329322.6,1.723E+13,0,0,0,0,0,0,0,0,97447995.99,7517519940,0,0,0,0,0,0,0,0,11345904052,8.84493E+11,0,0,0,0,0,0,0,0,4.33049E+14,3.62592E+13,0,0,0,0,0,0,7.98546E-07,0,0,0,4.38563E+14,4.44015E+12,0,0,0,0,0,0,0,0,5.1421E+16,5.23469E+14,0,0,0,0,0,0,0,0,1.74804E+15
D:\Baya\Thesis\Data\data\CHEERFUL011G.wav,185819756.8,1.00195E+13,0,0,0,0,0,0,0,0,4643192.517,2497784908,0,0,0,0,0,0,0,0,544289373.2,2.96238E+11,0,0,0,0,0,0,0,0,4.48556E+14,1.28699E+13,0,0,0,0,0,0,1.73124E-07,2.49033E-07,0,0,4.40501E+14,1.47833E+12,0,0,0,0,0,0,0,0,5.16566E+16,1.74416E+14,0,0,0,0,0,0,0,0,1.52797E+15
D:\Baya\Thesis\Data\data\CHEERFUL012F.wav,20799884.34,4.81143E+13,0,0,0,0,0,0,0,0,19731612.4,9959909380,0,0,0,0,0,0,0,0,1980309899,9.95975E+11,0,0,0,0,0,0,0,0,6.54195E+14,5.03141E+13,0,0,0,0,0,0,1.56269E-06,5.55685E-06,0,0,6.49883E+14,8.72798E+11,0,0,0,0,0,0,0,0,6.49477E+16,8.7278E+13,0,0,0,0,0,0,0,0,2.52766E+15
D:\Baya\Thesis\Data\data\CHEERFUL012G.wav,4039633732,3.60817E+13,0,0,0,0,0,0,0,0,79020722.75,9129809417,0,0,0,0,0,0,0,0,7951951487,9.14501E+11,0,0,0,0,0,0,0,0,4.87354E+14,4.49944E+13,0,0,0,0,0,0,2.11766E-06,3.85573E-06,0,0,4.75763E+14,7.83973E+11,0,0,0,0,0,0,0,0,4.75241E+16,7.8822E+13,0,0,0,0,0,0,0,0,1.94527E+15
D:\Baya\Thesis\Data\data\CHEERFUL013G.wav,1937074884,4.67285E+13,0,0,0,0,0,0,0,0,175990379.5,15240510617,0,0,0,0,0,0,0,0,17736728875,1.52797E+12,0,0,0,0,0,0,0,0,6.39385E+14,8.54057E+13,0,0,0,0,0,0,8.75118E-06,5.34635E-05,0,0,6.68017E+14,4.76033E+11,0,0,0,0,0,0,0,0,6.67193E+16,4.7988E+13,0,0,0,0,0,0,0,0,2.71006E+15
D:\Baya\Thesis\Data\data\CHEERFUL014E.wav,1101937402,6.81613E+13,0,0,0,0,0,0,0,0,261977431.9,25534596858,0,0,0,0,0,0,0,0,26314726252,2.55722E+12,0,0,0,0,0,0,0,0,8.92734E+14,1.09231E+14,0,0,0,0,0,0,8.47323E-06,,0,0,9.03427E+14,7.7038E+12,0,0,0,0,0,0,0,0,9.02471E+16,7.71931E+14,0,0,0,0,0,0,0,0,4.48539E+15
D:\Baya\Thesis\Data\data\CHEERFUL015E.wav,12005275.52,2.40694E+13,0,0,0,0,0,0,0,0,16110426.49,12092027071,0,0,0,0,0,0,0,0,1600150979,1.20904E+12,0,0,0,0,0,0,0,0,5.84908E+14,5.34701E+13,0,0,0,0,0,0,1.79194E-06,7.77694E-06,0,0,5.38903E+14,2.557E+12,0,0,0,0,0,0,0,0,5.38543E+16,2.55639E+14,0,0,0,0,0,0,0,0,1.96989E+15
D:\Baya\Thesis\Data\data\CHEERFUL017G.wav,148486287.6,3.32543E+13,0,0,0,0,0,0,0,0,2364029.499,10935838822,0,0,0,0,0,0,0,0,238741692,1.09526E+12,0,0,0,0,0,0,0,0,6.67996E+14,4.73667E+13,0,0,0,0,0,0,8.34285E-06,4.05098E-05,0,0,6.74209E+14,9.67908E+11,0,0,0,0,0,0,0,0,6.73794E+16,9.67908E+13,0,0,0,0,0,0,0,0,2.55991E+15
D:\Baya\Thesis\Data\data\CHEERFUL020G.wav,3903423814,4.7279E+13,0,0,0,0,0,0,0,0,159847072,12423939389,0,0,0,0,0,0,0,0,18901280088,1.46363E+12,0,0,0,0,0,0,0,0,7.68986E+14,6.47078E+13,0,0,0,0,0,0,9.28951E-07,2.52745E-06,0,0,7.58501E+14,3.30741E+12,0,0,0,0,0,0,0,0,8.8902E+16,3.91063E+14,0,0,0,0,0,0,0,0,3.08417E+15
D:\Baya\Thesis\Data\data\CHEERFUL021G.wav,105018065,1.63042E+13,0,0,0,0,0,0,0,0,3490863.67,3905315347,0,0,0,0,0,0,0,0,350149827.3,3.90435E+11,0,0,0,0,0,0,0,0,5.60192E+14,1.78922E+13,0,0,0,0,0,0,1.60067E-06,3.31796E-06,0,0,5.46368E+14,4.39747E+11,0,0,0,0,0,0,0,0,5.46191E+16,4.39679E+13,0,0,0,0,0,0,0,0,1.99916E+15
D:\Baya\Thesis\Data\data\CHEERFUL039G.wav,226851047.3,1.10821E+13,0,0,0,0,0,0,0,0,268616359.1,4939250933,0,0,0,0,0,0,0,0,26874748949,4.93922E+11,0,0,0,0,0,0,0,0,4.12627E+14,3.26898E+13,0,0,0,0,0,0,4.17365E-07,6.08175E-07,0,0,4.06152E+14,1.81895E+13,0,0,0,0,0,0,0,0,4.05992E+16,1.81895E+15,0,0,0,0,0,0,0,0,1.68424E+15
D:\Baya\Thesis\Data\data\CHEERFUL040G.wav,755262840.4,2.80014E+13,0,0,0,0,0,0,0,0,11699873.26,4578021257,0,0,0,0,0,0,0,0,1184430254,4.57792E+11,0,0,0,0,0,0,0,0,8.49265E+14,3.0049E+13,0,0,0,0,0,0,6.7656E-07,2.83688E-06,0,0,8.58077E+14,41055080959,0,0,0,0,0,0,0,0,8.5761E+16,4.11181E+12,0,0,0,0,0,0,0,0,3.0214E+15
D:\Baya\Thesis\Data\data\CHEERFUL041G.wav,3487290.994,2.44684E+13,0,0,0,0,0,0,0,0,97032121.85,14383240163,0,0,0,0,0,0,0,0,9687511104,1.43638E+12,0,0,0,0,0,0,0,0,3.59728E+14,7.30057E+13,0,0,0,0,0,0,3.8575E-07,1.30067E-06,0,0,3.66283E+14,1.32504E+13,0,0,0,0,0,0,0,0,3.65674E+16,1.32591E+15,0,0,0,0,0,0,0,0,1.40136E+15
