Sum of /data_set/feature/v,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Area Method of Moments of MFCCs Overall Average,Area Method of Moments of MFCCs Overall Standard Deviation,Beat Sum Overall Average,Beat Sum Overall Standard Deviation,Compactness Overall Average,Compactness Overall Standard Deviation,Fraction Of Low Energy Windows Overall Average,Fraction Of Low Energy Windows Overall Standard Deviation,LPC Overall Average,LPC Overall Standard Deviation,Method of Moments Overall Average,Method of Moments Overall Standard Deviation,Root Mean Square Overall Average,Root Mean Square Overall Standard Deviation,Spectral Centroid Overall Average,Spectral Centroid Overall Standard Deviation,Spectral Flux Overall Average,Spectral Flux Overall Standard Deviation,Spectral Rolloff Point Overall Average,Spectral Rolloff Point Overall Standard Deviation,Spectral Variability Overall Average,Spectral Variability Overall Standard Deviation,Strength Of Strongest Beat Overall Average,Strength Of Strongest Beat Overall Standard Deviation,Strongest Beat Overall Average,Strongest Beat Overall Standard Deviation,Zero Crossings Overall Average,Zero Crossings Overall Standard Deviation,Grand Total
BRAVERY007F.wav,6.39E+13,4.11E+12,29.35,1.721,1610,158.8,0.6365,0.03003,-0.85974,1.4289,61000070.19,12814785.25,0.03407,0.02613,18.01,19.44,0.0001324,0.0004041,0.1287,0.1816,0.0008512,0.0007093,0.008875,0.0002597,161.3,69.38,54.1,44.14,6.80E+13
BRAVERY007G.wav,7.67E+13,3.26E+12,29.5,2.563,1670,168.5,0.5926,0.02745,-0.617275,1.5678,66698516.45,16442304.83,0.03381,0.02024,27.16,19.44,0.00009852,0.0001299,0.1755,0.1684,0.0008204,0.0005265,0.01024,0.0001897,193.9,16.6,72.02,38.03,8.00E+13
BRAVERY008E.wav,8.80E+13,3.27E+12,134.9,15.25,1636,158,0.6747,0.06084,-0.80819667,1.8439,58211584.74,19277307.84,0.06114,0.06179,39.35,40.06,0.0005532,0.001526,0.2847,0.3047,0.001478,0.001675,0.01298,0.001138,121,2.14E-13,96.36,74.12,9.13E+13
BRAVERY008F.wav,9.86E+13,2.87E+12,50.95,2.598,1604,204.3,0.6207,0.03282,-1.55401,1.9541,84015273.15,22362249.45,0.045,0.03685,30.44,36.53,0.0002386,0.0004593,0.2405,0.3239,0.001096,0.001019,0.009923,0.0003191,220.6,8.69E-14,80.15,67.59,1.01E+14
BRAVERY008G.wav,1.14E+14,6.42E+12,28.4,2.73,1666,155.3,0.7279,0.0259,-0.80385,1.7034,40961377.04,15053112.55,0.03259,0.02721,33.5,24.75,0.000336,0.0008565,0.2413,0.1774,0.0007803,0.000759,0.01225,0.0005031,100,1.335,84.6,45.53,1.21E+14
BRAVERY009E.wav,1.34E+14,4.72E+12,162.3,3.697,1578,190.4,0.5805,0.04352,-0.5207219,1.8012,60780814.88,20710051.89,0.07849,0.05109,13.59,21.97,0.0004997,0.0008227,0.1017,0.2041,0.002008,0.001421,0.01013,0.0002809,60.14,0.5429,38.02,48.9,1.39E+14
BRAVERY009F.wav,1.49E+14,3.77E+12,175.2,9.947,1582,184.9,0.557,0.03843,-1.13299,1.7816,88936672.36,21333461.23,0.0827,0.04199,11.55,17.32,0.0005284,0.0008386,0.06977,0.176,0.00215,0.00122,0.009534,0.00008364,219.2,3.925,39.42,38.23,1.52E+14
BRAVERY009G.wav,1.74E+14,1.14E+13,42.98,6.584,1710,187.7,0.6325,0.0417,-0.68334,1.9307,57460356.46,20387247.5,0.04177,0.02725,18.21,24.34,0.0001375,0.0003072,0.1231,0.2053,0.001073,0.0007517,0.009614,0.0003297,173.2,66.84,47.78,49.53,1.86E+14
BRAVERY010E.wav,2.06E+14,6.83E+12,92.79,7.72,1715,184.3,0.5611,0.03445,-0.998761,1.5413,63976970.19,14599833.12,0.05839,0.02859,15.82,14.81,0.0001597,0.0002612,0.1083,0.1545,0.001484,0.0007954,0.008819,0.0001936,166.5,21.08,47,35.93,2.13E+14
BRAVERY010G.wav,2.33E+14,8.56E+12,58.74,2.577,1667,147.6,0.5855,0.04295,-0.35651,1.53691,74417996.79,17590172.57,0.04452,0.01894,11.42,8.3,0.0001602,0.0003722,0.06031,0.07884,0.001156,0.0005358,0.009173,0.0001133,155.5,20.96,35.34,20.12,2.41E+14
BRAVERY011E.wav,2.53E+14,2.91E+12,0,0,1600,201,0.6091,0.01144,-0.858397,1.5321,69243114.66,12701821.15,0.01959,0.01067,26.16,23.3,0.00002484,0.00002716,0.1818,0.1973,0.0004717,0.0002786,0,0,0,0,72.52,48.15,2.56E+14
BRAVERY011G.wav,2.74E+14,9.55E+12,32.88,3.633,1645,171,0.5978,0.03907,-0.96594,1.6642,70830229.49,14270683.14,0.03819,0.02926,17.27,18.75,0.00009739,0.0003936,0.1263,0.1903,0.0009929,0.0009359,0.009598,0.0002925,176.6,33.43,49.02,39,2.84E+14
BRAVERY012G.wav,3.01E+14,6.03E+12,24.32,0.3834,1676,198.4,0.6004,0.04806,-0.532,1.6936,57615983.97,10264700.55,0.03024,0.01555,19.08,15.12,0.00006222,0.0000736,0.1151,0.1576,0.000763,0.0004255,0.009865,0.00009536,155.3,15.17,52.91,32.76,3.07E+14
BRAVERY013G.wav,3.18E+14,3.39E+12,0,0,1635,190.3,0.4986,0.02064,-0.29282,1.7294,47102809.51,13868231.8,0.02504,0.0146,84.55,38.59,0.00006466,0.00009437,0.5593,0.2132,0.0005033,0.0002847,0,0,0,0,178.3,69.81,3.21E+14
BRAVERY014G.wav,3.52E+14,1.66E+13,40.87,8.184,1605,146.2,0.6117,0.07862,-0.8181,1.8342,61655658.81,16740016.33,0.03568,0.03345,51.47,44.97,0.0002292,0.0006126,0.3734,0.3065,0.0008164,0.0008456,0.01177,0.001242,219.8,2.967,121.8,82.84,3.68E+14
BRAVERY015G.wav,4.18E+14,2.21E+13,108.2,49.98,1639,167.6,0.6449,0.05117,-0.69707,2.0402,49891770.91,24666215.36,0.06157,0.05613,25.02,37.91,0.0004235,0.001321,0.1736,0.2672,0.001623,0.001574,0.01161,0.00172,86.32,70.06,61.07,74.23,4.41E+14
BRAVERY016G.wav,4.76E+14,1.10E+13,201.6,36.5,1689,198.9,0.603,0.05857,-1.16353,2.1464,107060814,34435784.9,0.0803,0.06205,29.47,42.32,0.0008235,0.001661,0.2018,0.3079,0.002093,0.001738,0.01021,0.0003121,91.29,56.05,77.93,83.55,4.87E+14
