Sum of /data_set/feature/v,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Area Method of Moments of MFCCs Overall Average,Area Method of Moments of MFCCs Overall Standard Deviation,Beat Sum Overall Average,Beat Sum Overall Standard Deviation,Compactness Overall Average,Compactness Overall Standard Deviation,Fraction Of Low Energy Windows Overall Average,Fraction Of Low Energy Windows Overall Standard Deviation,LPC Overall Average,LPC Overall Standard Deviation,Method of Moments Overall Average,Method of Moments Overall Standard Deviation,Root Mean Square Overall Average,Root Mean Square Overall Standard Deviation,Spectral Centroid Overall Average,Spectral Centroid Overall Standard Deviation,Spectral Flux Overall Average,Spectral Flux Overall Standard Deviation,Spectral Rolloff Point Overall Average,Spectral Rolloff Point Overall Standard Deviation,Spectral Variability Overall Average,Spectral Variability Overall Standard Deviation,Strength Of Strongest Beat Overall Average,Strength Of Strongest Beat Overall Standard Deviation,Strongest Beat Overall Average,Strongest Beat Overall Standard Deviation,Zero Crossings Overall Average,Zero Crossings Overall Standard Deviation,Grand Total
 LOVE008G.wav,1.27E+14,2.61E+12,0,0,1651,207.1,0.5637,0.06584,-0.68633,2.555,62618275.28,18714022.39,0.02736,0.01879,52.67,49.37,0.0001012,0.0003323,0.368,0.317,0.000654,0.0004454,0,0,0,0,121.4,92.99,1.29E+14
 LOVE009E.wav,1.52E+14,1.26E+13,16.66,6.028,1639,172.3,0.5676,0.06311,-0.37444,2.1278,50376612.44,11816135.15,0.02325,0.01294,59.18,48.23,0.00006077,0.00009758,0.3921,0.3093,0.0005265,0.0002907,0.009379,0.0003137,199.3,25.85,123.9,85.1,1.65E+14
 LOVE010E.wav,1.91E+14,9.54E+12,19.84,4.396,1674,182.9,0.6083,0.04184,-0.70638,1.8214,45892501.27,11243056.66,0.0262,0.01551,44.56,37.59,0.00006694,0.0001452,0.3264,0.2736,0.0006049,0.0003805,0.009638,0.0004368,142.9,63.08,100.9,67.72,2.00E+14
 LOVE010G.wav,2.23E+14,8.89E+12,59.05,6.216,1713,196.4,0.5553,0.03463,-0.15111,1.47859,58575479.48,16779981.06,0.04924,0.01674,12.86,8.277,0.0001572,0.0001904,0.06955,0.06753,0.001271,0.0004729,0.009206,0.000135,210.6,10.08,33.82,17.5,2.32E+14
 LOVE011E.wav,2.55E+14,9.72E+12,51.89,4.779,1741,162,0.5144,0.05739,-0.755079,1.4994,52868080.63,9666166.259,0.04121,0.0159,47.59,31.3,0.0001078,0.0001164,0.3565,0.2193,0.0009629,0.0003951,0.009474,0.0001684,220.3,2.226,113.4,58.97,2.65E+14
 LOVE011G.wav,2.88E+14,9.20E+12,29.86,1.826,1610,135.3,0.5997,0.04407,-0.37973,1.7527,71921600.17,13187073.76,0.02995,0.01409,30.29,18.04,0.00004465,0.0000575,0.1878,0.1919,0.000735,0.0003803,0.009031,0.0002451,157.8,52.93,76.76,39.06,2.97E+14
 LOVE012G.wav,3.20E+14,9.15E+12,51.14,4.545,1724,167.1,0.5507,0.04448,-0.44994,1.49047,43073844.26,13794595.63,0.04801,0.02005,23.51,13.16,0.0001445,0.0002723,0.1597,0.1287,0.001178,0.0005253,0.009326,0.0003332,215.9,14.4,62.08,30.51,3.29E+14
 LOVE013E.wav,3.52E+14,9.76E+12,35.28,2.56,1740,182.2,0.6797,0.03874,-0.67774,1.7117,48709455.84,12845201.81,0.03777,0.02192,36.1,27.29,0.0001235,0.0002076,0.2528,0.2087,0.0009434,0.0006021,0.00906,0.0001763,128.4,22.81,85.47,50.63,3.62E+14
 LOVE014E.wav,3.93E+14,1.38E+13,28.99,1.501,1688,203,0.6231,0.03483,-0.59913,2.3081,59740764.55,25167216.85,0.0336,0.0237,30.59,33.52,0.0001143,0.0002001,0.2112,0.2642,0.0008427,0.0006455,0.009663,0.0003043,186.2,58.87,72.04,66.51,4.07E+14
 LOVE016E.wav,4.36E+14,1.13E+13,47.11,4.418,1650,184.1,0.6125,0.0989,-0.5273328,2.3825,56113353.09,28641579.98,0.04038,0.03031,19.35,27.91,0.000107,0.0003331,0.1209,0.2042,0.00102,0.0007743,0.01005,0.0004469,192.4,67.05,48.45,56.23,4.48E+14
 LOVE016G.wav,4.75E+14,1.10E+13,43.97,4.348,1621,222.8,0.632,0.03276,-0.34461,2.479,61263495.62,14249484.73,0.03817,0.02795,75.57,60.87,0.0002199,0.00054,0.472,0.3537,0.0008925,0.0006721,0.01002,0.0004862,189.6,18.39,155.4,111.1,4.86E+14
 LOVE017E.wav,5.17E+14,1.36E+13,102.9,12.45,1758,224.6,0.5929,0.04006,-0.14136,2.36,46262268.18,28811135.74,0.05312,0.0315,26.45,18.66,0.0001551,0.0002956,0.1721,0.1978,0.001355,0.0008306,0.009647,0.0003389,194.9,25.41,62.29,39.83,5.31E+14
 LOVE018E.wav,5.70E+14,1.66E+13,48.54,15.58,1743,207.7,0.5698,0.03918,-0.193165,2.3306,50612301.33,23206954.47,0.04045,0.02453,27.52,21.48,0.0001218,0.0002408,0.1591,0.167,0.001022,0.0006416,0.00937,0.0002657,196.6,40.02,64.09,42.65,5.86E+14
 LOVE018G.wav,6.21E+14,1.31E+13,73.52,4.775,1694,183.3,0.5877,0.06685,-0.12213,2.1127,52915501.8,15479698.82,0.04608,0.02781,60.03,42.51,0.0001896,0.000405,0.39,0.2921,0.001095,0.0006989,0.009891,0.0003903,210,4.169,126.9,78.06,6.34E+14
 LOVE019E.wav,7.23E+14,4.66E+13,46.47,12.62,1736,199.7,0.6036,0.05575,-0.258621,2.2994,54545333.07,21768439.1,0.03958,0.02588,27.6,28.24,0.000138,0.0002742,0.1803,0.2254,0.00101,0.0007032,0.009225,0.0004455,165.1,44.32,63.79,55.58,7.69E+14
 LOVE019G.wav,8.52E+14,2.73E+13,37.85,5.629,1736,205.1,0.602,0.08479,-0.31965,1.7775,42738301.49,11093428.31,0.03635,0.02281,59.96,43.3,0.0001547,0.0004821,0.4105,0.2581,0.0008347,0.0005358,0.009674,0.0003287,201,34.39,130.8,77.62,8.79E+14
 LOVE021E.wav,9.34E+14,2.02E+13,171.9,23.09,1762,143.4,0.5792,0.0643,-0.57015,1.6693,47525366.42,20730313.18,0.0707,0.04457,26,16.54,0.0004065,0.000713,0.1685,0.1474,0.001789,0.001203,0.009563,0.0001309,216.2,21.32,64.99,33.82,9.55E+14
 LOVE026G.wav,1.11E+15,8.34E+13,24,15.98,1643,181,0.6232,0.07993,-0.48171,2.3249,55365978.71,19470502.6,0.03084,0.03224,28.64,31.18,0.0001184,0.0003075,0.1932,0.2547,0.0007852,0.0008678,0.01071,0.001756,203.4,39.28,67.48,61.48,1.19E+15
