 Dataset , Test Accuracy , F1-Score , Precision , Recall , ROC-AUC  
 Imbalanced ,0.8571,0,0.73,0.86,0.5
 Random Oversampling ,0.7143,0.33,0.81,0.71,0.62
 SMOTE ,0.8571,0.5,0.86,0.86,0.71
