 Dataset , Test Accuracy , F1-Score , Precision , Recall , ROC-AUC  
 Imbalanced ,0.8571,0,0.73,0.86,0.5
 Random Oversampling ,0.2143,0.27,0.88,0.21,0.54
 SMOTE ,0.1429,0.25,0.02,0.14,0.5
